gene1,gene2,combined_score
HS3ST1,UST,791
SLC7A2,ARG2,831
PDK4,ANGPTL4,739
CRY1,TPTEP2-CSNK1E,961
CRY1,RORB,922
CRY1,RORA,935
CRY1,PER3,999
CRY1,VIPR2,743
CD74,HLA-DPB1,982
CD74,HLA-DQB1,997
CD74,LGMN,932
CD74,ISG15,714
CD74,HLA-DMA,994
CD74,HLA-DQA1,994
CD74,RPS4Y2,861
CD74,HLA-DRB1,995
CD74,CTSB,954
CD74,RCL1,781
CD74,CCL5,713
CD74,EIF1AY,942
CD74,HLA-DRB5,986
CD74,HLA-DPA1,993
CD74,DOCK4,909
CD74,CIITA,833
CD74,RPS26,980
CD74,HLA-DRA,999
CD74,HMGN2,817
INMT,MAOA,930
SNAI2,FN1,800
SNAI2,CDH2,891
SNAI2,JUN,775
SNAI2,EZH2,843
SNAI2,LEF1,716
SNAI2,MYC,782
SNAI2,PAX3,784
SNAI2,TWIST2,826
SNAI2,KIT,744
SNAI2,MITF,736
SNAI2,HMGA2,707
SNAI2,MMP9,725
DCN,THBS2,720
DCN,FGF7,954
DCN,RETN,887
DCN,PDGFRA,826
DCN,TGFB2,890
DCN,VCAN,981
DCN,MMP9,713
DCN,FBN1,912
DCN,EGFR,999
DCN,IBSP,722
DCN,HGF,837
DCN,SDC1,935
DCN,LUM,978
DCN,MMP7,772
DCN,BCAN,754
DCN,CCN2,939
DCN,FBLN1,806
DCN,FN1,996
DCN,SPARC,905
DCN,BGN,989
DCN,TLR2,990
DCN,NID1,724
DCN,SPP1,768
DCN,KDR,931
DCN,COL1A2,930
DCN,COL3A1,935
DCN,SDC2,712
DCN,TNF,900
DCN,THBS1,854
DCN,YBX3,991
DCN,COL14A1,937
DCN,COL1A1,923
DCN,IGF1,989
TNFRSF17,FCRL5,743
TNFRSF17,CD70,721
TNFRSF17,CD40LG,893
TNFRSF17,CD79A,793
TNFRSF17,JCHAIN,872
TNFRSF17,IGLV10-54,801
TNFRSF17,CD38,773
TNFRSF17,IGLL5,746
TNFRSF17,CD40,813
TNFRSF17,POU2AF1,871
TNFRSF17,CD27,825
TNFRSF17,TNFRSF13C,944
TNFRSF17,MZB1,999
TLL1,TBX20,706
CD22,DNTT,777
CD22,FCGR3A,726
CD22,CD38,787
CD22,CD2,833
CD22,CD79B,960
CD22,VPREB3,712
CD22,BLK,734
CD22,FCGR3B,714
CD22,MS4A1,928
CD22,BLNK,750
CD22,BCL2,734
CD22,CD79A,985
CD22,PAX5,796
CD22,CD7,752
CD22,CD40LG,727
CD22,CD69,726
CD22,MME,841
CD22,NOX5,751
CD22,BTLA,746
CD22,FFAR2,781
ZFY,EIF1AY,965
ZFY,RPS4Y2,896
TNS1,FN1,756
TNS1,DLC1,746
SCT,VIPR2,867
SCT,CALCR,824
TBX21,NCR1,749
TBX21,CCR7,823
TBX21,IFNG,964
TBX21,BATF,723
TBX21,ITK,710
TBX21,PRDM1,805
TBX21,CD8A,944
TBX21,STAT4,908
TBX21,RUNX3,991
TBX21,IL10,866
TBX21,PRF1,872
TBX21,CD2,725
TBX21,MAF,745
TBX21,HAVCR2,701
TBX21,IL7R,794
TBX21,ICOS,775
TBX21,NCAM1,736
TBX21,TXK,762
TBX21,KLRG1,835
TBX21,TIGIT,735
TBX21,GZMB,918
TBX21,CD28,826
TBX21,GZMA,770
TBX21,IL12RB2,881
TBX21,IRF8,716
TBX21,KLRB1,701
TBX21,IL1B,782
TBX21,TNF,838
TBX21,CD69,757
TBX21,CTLA4,822
TBX21,IL6,829
TBX21,IL4,887
TBX21,KLRD1,772
TBX21,CD27,773
TBX21,IL17A,937
TBX21,CXCL10,736
TBX21,IRF4,760
TBX21,GATA3,997
TBX21,IL2RB,813
TBX21,IL15,885
CLIC5,CLIC4,857
CLIC5,PLS1,862
CLIC5,CLIC2,857
FAP,FN1,705
STRADB,EPB42,792
STRADB,TRAK2,929
CEACAM6,FN1,707
CEACAM6,CEACAM8,993
CEACAM6,DEFA4,715
PPP1R13B,RASSF8,924
TPSD1,TPSAB1,977
TPSD1,TPSB2,931
TGFBR3,ACVR2A,957
TGFBR3,TGFB2,996
TGFBR3,WLS,794
LGALS1,LUM,713
LGALS1,ANXA2,766
LGALS1,FN1,878
XBP1,ATF3,824
XBP1,DERL3,712
XBP1,BACH2,709
XBP1,IRF4,814
XBP1,LMNA,811
XBP1,EIF2AK3,909
XBP1,TSPYL2,754
XBP1,ESR1,760
XBP1,PAX5,755
XBP1,IL1B,709
XBP1,HSP90B1,872
XBP1,HSPA5,980
XBP1,RPS26,866
XBP1,HERPUD1,823
XBP1,PRDM1,866
XBP1,SDC1,740
HMOX1,GCLC,903
HMOX1,HEPH,935
HMOX1,BCL2,856
HMOX1,TNF,792
HMOX1,IL1B,817
HMOX1,IL6,810
HMOX1,IL4,878
HMOX1,JUN,798
HMOX1,EDN1,735
HMOX1,FECH,963
HMOX1,CP,942
HMOX1,GPX3,844
HMOX1,IL10,726
HMOX1,PTGS2,789
HMOX1,BLVRB,952
HMOX1,PPARG,784
IL2RB,CD3D,703
IL2RB,NKG7,768
IL2RB,CCL5,737
IL2RB,GNLY,848
IL2RB,IFNG,934
IL2RB,CSF2,840
IL2RB,CCR7,728
IL2RB,ITK,801
IL2RB,GZMA,901
IL2RB,CD247,917
IL2RB,CD8A,922
IL2RB,PDCD1,715
IL2RB,LCK,874
IL2RB,CXCR6,715
IL2RB,CD69,732
IL2RB,IL10,928
IL2RB,IL7,941
IL2RB,CD2,824
IL2RB,PRF1,913
IL2RB,IL4,916
IL2RB,IL6,859
IL2RB,IL7R,891
IL2RB,KLRD1,868
IL2RB,EOMES,783
IL2RB,CD27,829
IL2RB,KLRG1,718
IL2RB,TBX21,813
IL2RB,GZMB,907
IL2RB,CD226,846
IL2RB,CD28,777
IL2RB,IL15,999
CTSG,ELANE,999
CTSG,MPO,999
CTSG,LYZ,836
CTSG,BPI,959
CTSG,PRTN3,997
CTSG,RNASE3,902
CTSG,CEACAM8,726
CTSG,CPA3,812
CTSG,DEFA4,932
CTSG,SLPI,892
CTSG,AZU1,977
CTSG,LTF,997
CTSG,MS4A3,797
CTSG,CAMP,971
CTSG,MMP9,992
GZMH,GZMM,710
GZMH,CST7,721
GZMH,KLRB1,712
GZMH,GZMA,877
GZMH,CTSW,765
GZMH,FGFBP2,905
GZMH,EOMES,776
GZMH,KLRD1,877
GZMH,PRF1,935
GZMH,CD2,834
GZMH,CD8A,895
GZMH,CCL5,869
GZMH,NKG7,969
GZMH,GNLY,958
GZMH,GZMB,847
GZMH,GZMK,878
GZMB,TBX21,918
