source,target,weight,resources,references,sign_decision
HES1,HES1,1.0,ExTRI;Pavlidis2021,10066785;12682059;14722248;15110721;15536134;16916793;18852286;19109490;19124651;19321451;21205878;22167192;22172337;23267012;23990620;24185616;9570134,default activation
NFATC2,IL4,1.0,CytReg;ExTRI;IntAct;NTNU.Curated;SIGNOR;TFactS,10069428;10772943;10894164;11687571;11781715;11956291;12218118;12355451;12594266;15048722;15539155;15684054;17645498;18217957;18962896;19915002;21799768;22226971;23612709;25037220;7989759;8284217;8524816;8668213;9133600;9310836;9430230;9845517;9916709,PMID
PPARG,SERPINE1,-1.0,ExTRI;GEREDB;NTNU.Curated;TRRUST,10073956;10329404;11230363;14581151;15990085;16843437;17906687;17995524;18278065,PMID
JUN,CCL5,1.0,CytReg;ExTRI;GEREDB;TFactS;TRRUST,10075858;10760799;11413310;19828633;20862675;26096887;7513046,PMID
TEAD1,TGFA,1.0,ExTRI;NTNU.Curated,10076050,regulon
IRF8,IFNG,1.0,ExTRI,10092656;10358195;12370291;12429737;19074829;2111015;21731497;21862594,default activation
STAT4,IFNG,1.0,CytReg;ExTRI;GEREDB;TRRUST,10097133;11449378;11801649;12594853;12759422;12893768;12902482;14734615;15251440;15522880;16301617;16717115;17110450;19359411;19710469;20574006;20620946;23761633;24415943;25589075;26123499;9558063;9642277,PMID
PPARG,LPL,1.0,ExTRI;NTNU.Curated,10098492;17658475;18948972;8895578,PMID
JUN,IL6,1.0,CytReg;ExTRI;NTNU.Curated;TFactS;TRRUST,10037779;10202034;10542237;11120852;12667961;15158360;15389813;17341596;18502099;19687301;20225236;20351184;20371366;20511231;20862675;21069809;21098092;21312239;24676671;25567680;26513016;8453101;8830832,PMID
MYC,EMP1,1.0,ExTRI;NTNU.Curated,10207076,PMID
ESR1,EMP1,1.0,ExTRI;NTNU.Curated,10207076,PMID
TCF4,SSTR2,1.0,ExTRI;NTNU.Curated;SIGNOR,10207097,PMID
RUNX2,RUNX2,1.0,ExTRI;NTNU.Curated;SIGNOR,10215629;11331591;12112009;12890574,PMID
OTX2,NCAM1,1.0,ExTRI,10216227,default activation
JUN,TNF,1.0,CytReg;ExTRI;NTNU.Curated;TFactS;TRRUST,10318823;10551799;10688670;10748079;10754326;10837498;10913190;10952728;10954918;11087751;11490006;11739517;12509451;12759366;15546613;16199883;16365438;16483936;16881863;16888805;18408586;19285436;20164416;21059644;21098092;23583459;24009130;24548427;25567680;7896795;7935377;8552071;8816436;8998076;9030359;9160673;9211933;9566900;9760243;9813054;9826775;9988757,PMID
ID2,HBG1,1.0,ExTRI,10330158,default activation
JUN,CSF2,1.0,CytReg;DoRothEA-A;ExTRI;GEREDB;NTNU.Curated;TFactS;TRRUST,10330159;11509589;12760745;15840658;1900839;19890352;7579683;8135780;8524292;9190901;9862439,PMID
NFATC2,CSF2,1.0,CytReg;ExTRI;GEREDB,10330159;22911897;8668213,PMID
