gene_symbol,gene_id
A2M,0
A2ML1-AS1,1
A2MP1,2
AADACL2-AS1,3
ABCA1,4
ABCA13,5
ABCA6,6
ABCA9,7
ABCB1,8
ABCB4,9
ABCC13,10
ABCC4,11
ABCG1,12
ABHD17AP4,13
ABHD17B,14
ABI3,15
ABLIM1,16
ABTB2,17
ABTB3,18
ACACB,19
ACKR3,20
ACMSD,21
ACOXL,22
ACSBG2,23
ACSL4,24
ACSL6,25
ACSM3,26
ACSS3,27
ACVR2A,28
ADAD1,29
ADAM12,30
ADAM22,31
ADAM23,32
ADAM28,33
ADAM29,34
ADAM7-AS1,35
ADAMTS1,36
ADAMTS17,37
ADAMTS3,38
ADAMTS6,39
ADAMTS9,40
ADAMTS9-AS2,41
ADCY9,42
ADD3-AS1,43
ADGRB3,44
ADGRE2,45
ADGRE3,46
ADGRF3,47
ADGRF5,48
ADGRG1,49
ADGRG5,50
ADGRL2,51
ADGRL4,52
ADH1B,53
ADIRF,54
ADM,55
AFAP1,56
AFDN,57
AFF2,58
AFF3,59
AGA-DT,60
AGBL4,61
AHCYL2,62
AHSP,63
AIF1,64
AIG1,65
AK5,66
AK9,67
AKAP12,68
AKAP13-AS1,69
AKAP6,70
AKR1C3,71
AKR1C5P,72
AKT3,73
ALAS1,74
ALAS2,75
ALB,76
ALCAM,77
ALDH1A1,78
ALDH1A2,79
ALG14,80
ALKAL1,81
ALOX12P2,82
ALOX15,83
ALPL,84
AMOTL1,85
AMPD1,86
AMPH,87
ANGPT1,88
ANGPT2,89
ANGPT4,90
ANGPTL1,91
ANGPTL4,92
ANK1,93
ANK3,94
ANKRD18A,95
ANKRD20A11P,96
ANKRD26P3,97
ANKRD28,98
ANKRD36BP2,99
ANKRD55,100
ANKRD6,101
ANLN,102
ANO2,103
ANO5,104
ANOS2P,105
ANTXR1,106
ANXA2,107
AP3B2,108
AP3M2,109
AP4E1,110
AP4S1,111
APBA2,112
APBB2,113
APLNR,114
APOB,115
APOBEC3G,116
APOC1,117
APOD,118
APOE,119
AQP4-AS1,120
AQP9,121
AREG,122
ARG2,123
ARHGAP10,124
ARHGAP32,125
ARHGAP42,126
ARHGAP6,127
ARHGEF12,128
ARHGEF28,129
ARHGEF3,130
ARHGEF4,131
ARHGEF40,132
ARK2C,133
ARL4C,134
ARPP21,135
ARRDC3-AS1,136
ARSJ,137
ART4,138
ASPG,139
ASPM,140
ASTL,141
ASTN2-AS1,142
ATAD2,143
ATF3,144
ATG14,145
ATP10A,146
ATP1A1-AS1,147
ATP1B3,148
ATP5MGP6,149
ATP5PBP8,150
ATP6V1G3,151
ATP8B1,152
AUTS2,153
AVEN,154
AVP,155
AVPR1A,156
AXL,157
AZGP1P1,158
AZU1,159
B3GALT1,160
BAALC,161
BAALC-AS1,162
BACE2,163
BACH2,164
BAG3,165
BANK1,166
BASP1-AS1,167
BATF,168
BBOX1-AS1,169
BCAN,170
BCL10-AS1,171
BCL11A,172
BCL11B,173
BCL2,174
BCYRN1,175
BEND7-DT,176
BEST3,177
BEX1,178
BFSP2,179
BFSP2-AS1,180
BGN,181
BICC1,182
BICDL1,183
BIRC3,184
BLK,185
BLNK,186
BLVRB,187
BMP2K,188
BMP5,189
BMP6,190
BMPER,191
BMS1P10,192
BNC2,193
BNIPL,194
BOLL,195
BPGM,196
BPI,197
BRI3BPP1,198
BRIP1,199
BRME1,200
BTLA,201
BTN3A1,202
BTNL9,203
C11orf96,204
C11orf97,205
C12orf42,206
C12orf75,207
C15orf48,208
C15orf62,209
C17orf99,210
C19orf33,211
C1QA,212
C1QB,213
C1QC,214
C1QTNF4,215
C1QTNF7,216
C1QTNF7-AS1,217
C1orf141,218
C1orf21,219
C2CD5-AS1,220
C4BPA,221
C5orf67,222
C6,223
C7,224
C9orf153,225
CA1,226
CA10,227
CA12,228
CA2,229
CA3,230
CA8,231
CACHD1,232
CACNA1C,233
CACNA1D,234
CACNA1E,235
CACNB4,236
CADM1,237
CADM2,238
CADPS2,239
CALCB,240
CALCR,241
CALCRL,242
CALCRL-AS1,243
CALD1,244
CALML5,245
CALN1,246
CAMK1D,247
CAMK2D,248
CAMK4,249
CAMP,250
CARD11,251
CARMIL1,252
CARMN,253
CASC15,254
CASC19,255
CASC8,256
CASKP1,257
CASP4LP,258
CASS4,259
CATSPERB,260
CATSPERE,261
CAVIN2,262
CAVIN2-AS1,263
CBLB,264
CCDC141,265
CCDC144CP,266
