cell_type,gene_symbol,mean_expression,total_expression_volume,n_cells_in_type
erythroid progenitor cell,ISG15,0.27882048,104.0,373
erythroid progenitor cell,MXRA8,0.0,0.0,373
erythroid progenitor cell,SMIM1,9.965151,3717.0,373
erythroid progenitor cell,PER3,0.21983932,82.0,373
erythroid progenitor cell,ERRFI1,0.029490614,11.0,373
erythroid progenitor cell,SPSB1,0.018766755,7.0,373
erythroid progenitor cell,RBP7,0.013404826,5.0,373
erythroid progenitor cell,DHRS3,1.7560346,655.0,373
erythroid progenitor cell,KAZN,0.5630028,210.0,373
erythroid progenitor cell,IGSF21,0.0026809652,1.0,373
erythroid progenitor cell,PLA2G5,0.0,0.0,373
erythroid progenitor cell,ALPL,0.10991956,41.0,373
erythroid progenitor cell,C1QA,0.034852546,13.0,373
erythroid progenitor cell,C1QC,0.013404826,5.0,373
erythroid progenitor cell,C1QB,0.06702413,25.0,373
erythroid progenitor cell,ID3,0.0026809652,1.0,373
erythroid progenitor cell,RCAN3,0.09115281,34.0,373
erythroid progenitor cell,CLIC4,2.6514788,989.0,373
erythroid progenitor cell,RUNX3,0.12868632,48.0,373
erythroid progenitor cell,MAN1C1,0.034852546,13.0,373
erythroid progenitor cell,STMN1,20.769445,7747.0,373
erythroid progenitor cell,CD52,0.20107242,75.0,373
erythroid progenitor cell,HMGN2,29.986605,11185.0,373
erythroid progenitor cell,FCN3,0.0026809652,1.0,373
erythroid progenitor cell,SDC3,0.20107253,75.0,373
erythroid progenitor cell,TINAGL1,0.0,0.0,373
erythroid progenitor cell,FAM167B,0.013404826,5.0,373
erythroid progenitor cell,LCK,0.040214475,15.0,373
erythroid progenitor cell,RNF19B,0.38069707,142.0,373
erythroid progenitor cell,HIVEP3,0.2493299,93.0,373
erythroid progenitor cell,CCDC30,0.29490632,110.0,373
erythroid progenitor cell,SLC2A1,5.70509,2128.0,373
erythroid progenitor cell,RNF220,7.860588,2932.0,373
erythroid progenitor cell,UROD,14.069706,5248.0,373
erythroid progenitor cell,MAST2,2.469174,921.0,373
erythroid progenitor cell,TRABD2B,0.0053619305,2.0,373
erythroid progenitor cell,SHISAL2A,0.018766755,7.0,373
erythroid progenitor cell,PLPP3,0.16621989,62.0,373
