gene1,gene2,combined_score
CFTR,SCNN1B,895
CFTR,DNAJB1,825
SLC7A2,ARG2,831
SLC7A2,ARG1,841
HSPB6,DNAJB1,776
HSPB6,BAG3,938
PDK4,ANGPTL4,739
PDK4,PPARGC1A,838
PDK4,INS,777
CX3CL1,CCL13,749
CX3CL1,CCL11,992
CX3CL1,CXCL12,893
CX3CL1,CXCL8,845
CX3CL1,CCL19,801
CX3CL1,CCR7,915
CX3CL1,IFNG,923
CX3CL1,CCL21,931
CX3CL1,CXCL1,939
CX3CL1,CCL5,971
CX3CL1,CSF3,942
CX3CL1,CD8A,704
CX3CL1,CXCL13,860
CX3CL1,FGF13,968
CX3CL1,CCL26,730
CX3CL1,CCL17,856
CX3CL1,GNAI1,800
CX3CL1,CXCL3,795
CX3CL1,FGF2,971
CX3CL1,CCL20,920
CX3CL1,CXCR4,995
CX3CL1,CD40LG,718
CX3CL1,CXCL5,801
CX3CL1,IL1B,839
CX3CL1,TNF,814
CX3CL1,CX3CR1,999
CX3CL1,CXCR6,939
CX3CL1,CCL7,870
CX3CL1,CD200,834
CX3CL1,CCR1,905
CX3CL1,CXCR3,990
CX3CL1,ICAM1,725
CX3CL1,CCL3,733
CX3CL1,CCL2,831
CX3CL1,ITGAM,729
CX3CL1,CCR8,846
CX3CL1,CXCL6,737
CX3CL1,CCL4,904
CX3CL1,GNG2,800
CX3CL1,IL6,735
CX3CL1,CXCL2,798
CX3CL1,CXCL9,926
CX3CL1,EGF,961
CX3CL1,CXCL10,948
CAMK1G,KCNN2,769
CD74,HLA-DPB1,982
CD74,HLA-DQB1,997
CD74,CXCR4,994
CD74,HLA-DQA2,992
CD74,LGMN,932
CD74,ISG15,714
CD74,ITGB2,721
CD74,HLA-DQA1,994
CD74,CCL5,713
CD74,HLA-DOB,975
CD74,HLA-DPA1,993
INMT,IDO1,913
INMT,AOC1,912
MYOC,CYP1B1,944
MYOC,FN1,777
MYOC,SPARCL1,856
MYOC,SNCG,731
MYOC,FBN1,909
LCP2,ITK,999
LCP2,CD247,941
LCP2,TYROBP,960
LCP2,LCK,999
LCP2,HLA-DPA1,764
LCP2,GRAP2,999
LCP2,CD6,905
LCP2,HAVCR2,725
LCP2,PTPRC,935
LCP2,VAV1,999
LCP2,TXK,783
LCP2,RASGRP1,765
LCP2,CD3G,825
LCP2,CD3D,907
LCP2,SYK,999
LCP2,CD3E,824
LCP2,FGR,780
LCP2,FCER1G,857
LCP2,TREM2,760
LCP2,SKAP1,987
LCP2,PLEK,724
DCN,THBS2,720
DCN,CCN4,766
DCN,FGF2,834
DCN,FGF7,954
DCN,RETN,887
DCN,COL6A1,824
DCN,MMP2,866
DCN,PDGFRA,826
DCN,TGFB2,890
DCN,POSTN,758
DCN,VCAN,981
DCN,FBN1,912
DCN,EGFR,999
DCN,IBSP,722
DCN,HGF,837
DCN,VTN,945
DCN,LUM,978
DCN,ERBB4,922
DCN,MMP7,772
DCN,CSPG4,773
DCN,CCN2,939
DCN,FBLN1,806
DCN,FN1,996
DCN,COMP,830
DCN,SPARC,905
DCN,BGN,989
DCN,TLR2,990
DCN,NID1,724
DCN,SPP1,768
DCN,KDR,931
DCN,COL1A2,930
DCN,EGF,917
DCN,DPT,850
DCN,COL3A1,935
