source,target,weight,resources,references,sign_decision
NFATC2,GCG,1.0,ExTRI,10026208,default activation
E2F3,CDKN1A,1.0,ExTRI;GEREDB;NTNU.Curated;TFactS;TRRUST,10030670;15855772;17008321;17167174;22894933,PMID
PAX6,L1CAM,1.0,ExTRI,10051657;7917011,default activation
RBPJ,HES1,1.0,DoRothEA-A;ExTRI;GOA;Pavlidis2021;SIGNOR;TFactS,10066785;10205173;10520600;10933396;11120788;11866432;12814948;17611704;21311046;22718343;7566092;9819428,PMID
HES1,HES1,1.0,ExTRI;Pavlidis2021,10066785;12682059;14722248;15110721;15536134;16916793;18852286;19109490;19124651;19321451;21205878;22167192;22172337;23267012;23990620;24185616;9570134,default activation
GATA4,GATA4,1.0,ExTRI,10067876;17098826;17207921;18387357;18591257;19276186;20384792;21059997;21084315;21376121;22174950;23239811,default activation
PPARG,SERPINE2,1.0,ExTRI;NTNU.Curated,10073956,PMID
PPARG,SERPINE1,-1.0,ExTRI;GEREDB;NTNU.Curated;TRRUST,10073956;10329404;11230363;14581151;15990085;16843437;17906687;17995524;18278065,PMID
RARB,MMP11,1.0,ExTRI,10075839,default activation
PAX6,GCG,1.0,ExTRI;NTNU.Curated;SIGNOR;TRRUST,10094478;10319322;10506141;10862760;10938089;11457839;11707457;11773447;11845228;12783165;14765989;15590659;17263687;17901057;17962386;19217949;19223471;19338578;20592023;21824252;21824254;22426149;9224716;9933606,PMID
STAT4,IFNG,1.0,CytReg;ExTRI;GEREDB;TRRUST,10097133;11449378;11801649;12594853;12759422;12893768;12902482;14734615;15251440;15522880;16301617;16717115;17110450;19359411;19710469;20574006;20620946;23761633;24415943;25589075;26123499;9558063;9642277,PMID
PPARG,LPL,1.0,ExTRI;NTNU.Curated,10098492;17658475;18948972;8895578,PMID
SPI1,REG1A,1.0,ExTRI,10206983,default activation
ESR1,CRYAB,1.0,ExTRI,10207098,default activation
RUNX1,BCL2,1.0,ExTRI,10208431;23673926;24370018;8943060,default activation
GATA4,SLC8A1,1.0,ExTRI;GEREDB;NTNU.Curated,10212268;16966329,PMID
MSX1,MSX1,-1.0,ExTRI;NTNU.Curated,10215616;11115394,PMID
RUNX2,RUNX2,1.0,ExTRI;NTNU.Curated;SIGNOR,10215629;11331591;12112009;12890574,PMID
WT1,CDKN1A,1.0,ExTRI;NTNU.Curated;TRRUST,10224085;17160023;18202757,PMID
PAX6,SST,1.0,ExTRI,10319322;19223471;9224716,default activation
HES1,FCER1G,1.0,ExTRI,10329626,default activation
SP140,IFNG,1.0,ExTRI,10330182,default activation
HES1,NGF,1.0,ExTRI,10336252,default activation
WT1,THBS1,1.0,ExTRI;TRRUST,10340386;15542786;15618543,default activation
LEF1,MMP7,1.0,ExTRI;NTNU.Curated;Pavlidis2021;TFactS;TRRUST,10362259;10514384;11158322;11943708;12200448;12782598;12958188;15457508;22686279,PMID
NEUROD1,NEUROD1,1.0,ExTRI,10366743;10757813;14752053;16855267;18035054;19759004;19952854;21593321;21931278;23110224;9714454,default activation
IKZF3,BCL2,1.0,ExTRI;NTNU.Curated,10369681,PMID
RBPJ,IL6,1.0,CytReg;ExTRI;TRRUST,10329846;10373597;11886848;12200447;8972179;9199307;9502421;9516466,PMID
NR4A3,ITK,1.0,ExTRI,10382746,default activation
TP63,CDKN1A,1.0,DoRothEA-A;ExTRI;GEREDB;HTRI;NTNU.Curated;TRRUST,10383130;12374749;12640112;15790310;15965232;16007146;16410722;17404570;17965458;20123734;21093383;21480565;23665236;9405685,PMID
SPI1,TIMP1,1.0,ExTRI,10388555;10497161;15102003;15485866;22472882;8559663,default activation
WT1,ABCB1,1.0,ExTRI;TRRUST,10392899;10860921;11734301,default activation
WT1,WT1,-1.0,ExTRI;HTRI;NTNU.Curated,10406804;10452544;11221883;11243407;11299720;12738801;14701728;14988020;15540161;15607745;17119250;17605874;17634147;17956689;18064385;18483696;18708366;19212333;20066433;20237505;21343363;21378152;24534946;24607494;7478583;7791758;7890725;8119964;8530399;8621487;8760285;9178767;9388203,PMID
WT1,BCL2,1.0,ExTRI;TRRUST,10406804;12644474;16760668;9235968,default activation
PAX6,UNC5C,1.0,ExTRI,10409504,default activation
ESR1,C3,1.0,ExTRI;NTNU.Curated,10418989;17478088;8961270,default activation
PPARG,FABP4,1.0,ExTRI;GEREDB;NTNU.Curated;SIGNOR;TRRUST,10425206;10935488;11574398;16854242;17322100;20160124;20656057;21047783;23805908;8943212;9831621,PMID
ESR1,SPP1,1.0,ExTRI;NTNU.Curated,10428965;11522780;12761896;18234909;9869301,PMID
PAX5,CD79A,1.0,ExTRI;GEREDB;TRRUST,10435576;11779502;12446773;12612069;14500810;15361869;18641300;19616560;8804314;9545244;9743352,PMID
PAX5,EBF1,1.0,ExTRI;Pavlidis2021,17101802,PMID
EBF1,PAX5,1.0,ExTRI,10435576;12477815;16464566,default activation
ESR1,TNFRSF11A,1.0,ExTRI,10446910;12697671;24507928,default activation
IRF4,IL1B,1.0,CytReg;ExTRI,10453013;11359842;12676954;16439360;18566416,PMID
SPI1,IL1B,1.0,CytReg;ExTRI;TRRUST,10328874;10453013;10490619;10801783;11359842;11823535;12061786;16439360;17283046;17386941;18173740;18566416;19423615;7609733;7799967;9360994;9376596,PMID
RUNX1,BLK,1.0,ExTRI;NTNU.Curated;Pavlidis2021,10455134;14970218,PMID
PAX5,BLK,1.0,ExTRI;Pavlidis2021;TRRUST,10455134;10553071;14594818;18697940;8195169;8759736;9660839,default activation
NRG1,EGF,1.0,ExTRI,10473632,default activation
GATA4,ANKRD1,1.0,ExTRI;GEREDB,10477291;12384280;22532871,default activation
NFATC2,XCL1,1.0,ExTRI;GEREDB,10477599,PMID
