gene_symbol,gene_id
AASS,0
ABCA1,1
ABCA10,2
ABCA6,3
ABCA8,4
ABCA9,5
ABCA9-AS1,6
ABCB1,7
ABCC8,8
ABCC9,9
ABCD2,10
ABCG1,11
ABI3BP,12
ABLIM3,13
ABTB2,14
ABTB3,15
ACADL,16
ACAP1,17
ACE,18
ACE2,19
ACER2,20
ACKR1,21
ACP5,22
ACSBG1,23
ACSL1,24
ACSL4,25
ACSM3,26
ACTA2,27
ACTC1,28
ACTG1P3,29
ACTG2,30
ACTN2,31
ADAM12,32
ADAM19,33
ADAM22,34
ADAM23,35
ADAM28,36
ADAM7,37
ADAM7-AS1,38
ADAMTS1,39
ADAMTS12,40
ADAMTS15,41
ADAMTS19,42
ADAMTS2,43
ADAMTS3,44
ADAMTS4,45
ADAMTS5,46
ADAMTS6,47
ADAMTS9,48
ADAMTS9-AS1,49
ADAMTSL1,50
ADAMTSL2,51
ADAMTSL3,52
ADCY3,53
ADCY4,54
ADGRB3,55
ADGRE2,56
ADGRF1,57
ADGRF5,58
ADGRG3,59
ADGRG5,60
ADGRG6,61
ADGRL3,62
ADGRL4,63
ADGRV1,64
ADH1B,65
ADH1C,66
ADIRF,67
ADM,68
ADM5,69
ADRA1A,70
ADRA1B,71
ADTRP,72
AEBP1,73
AFAP1L1,74
AFF2,75
AFF3,76
AGA-DT,77
AGBL4,78
AGMO,79
AGR2,80
AGTR1,81
AHI1-DT,82
AICDA,83
AIF1,84
AIF1L,85
AIM2,86
AJAP1,87
AK5,88
AKAP12,89
AKNA,90
AKR1C1,91
AKR1C2,92
ALDH1A2,93
ALDH1A3,94
ALDOB,95
ALKAL2,96
ALOX5,97
ALOX5AP,98
ALOXE3P1,99
ALPL,100
AMBP,101
AMPD1,102
AMPH,103
ANGPT1,104
ANGPT2,105
ANGPTL1,106
ANGPTL4,107
ANK2,108
ANKFN1,109
ANKH,110
ANKRD1,111
ANKRD18DP,112
ANKRD33B,113
ANKRD34B,114
ANKRD36C,115
ANKRD37,116
ANKRD62,117
ANKS1B,118
ANKUB1,119
ANLN,120
ANO2,121
ANO4,122
ANOS1,123
ANOS2P,124
ANTXR1,125
ANTXR2,126
ANXA8,127
AOAH,128
AOC1,129
APBA1,130
APBA2,131
APCS,132
APLNR,133
APOBEC3A,134
APOBEC3G,135
APOC1,136
APOC2,137
APOD,138
APOE,139
APOLD1,140
AQP9,141
AREG,142
ARG1,143
ARG2,144
ARHGAP10,145
ARHGAP15,146
ARHGAP20,147
ARHGAP22,148
ARHGAP25,149
ARHGAP28,150
ARHGAP42,151
ARHGAP6,152
ARHGEF17,153
ARHGEF28,154
ARHGEF4,155
ARID5B,156
ARL4C,157
ARLNC1,158
ARMC3,159
ARSB,160
ASB9,161
ASNSP1,162
ASPM,163
ASPN,164
ASRGL1,165
ASS1,166
ASTL,167
ATF3,168
ATP10A,169
ATP1A2,170
ATP1B3,171
ATP6V0A4,172
ATP8A1,173
ATP8B4,174
ATRNL1,175
AVPR1A,176
AXL,177
B3GALT1,178
B3GAT1,179
BAALC,180
BACH2,181
BAG3,182
BANK1,183
BARX2,184
BASP1,185
BCL11B,186
BCL2,187
BCL2A1,188
BCYRN1,189
BFSP2,190
BFSP2-AS1,191
BGN,192
BHLHE40,193
BHLHE40-AS1,194
BIN2,195
BIRC3,196
BIRC5,197
BLK,198
BMAL2,199
BMP2,200
BMP5,201
BMP6,202
BMPER,203
BMPR1B,204
BMS1P17,205
BMX,206
BNC2,207
BNIP3P40,208
BNIP5,209
BOC,210
BRINP1,211
BRME1,212
BTLA,213
BTNL9,214
C11orf96,215
C12orf42,216
C15orf48,217
C19orf33,218
C1GALT1P2,219
C1QA,220
C1QB,221
C1QC,222
C1QTNF7-AS1,223
C1QTNF9B,224
C1R,225
C1S,226
C1orf127,227
C1orf162,228
C3,229
C3AR1,230
C3orf52,231
C4BPA,232
C4orf54,233
C5AR1,234
C5AR2,235
C6,236
C7,237
C8orf34,238
CA10,239
CA12,240
CA4,241
CA8,242
CACHD1,243
CACNA1A,244
CACNA1C,245
CACNA1C-IT3,246
CACNA1D,247
CACNA2D1,248
CACNB4,249
CACNG4,250
CADM2,251
CADM3,252
CADPS,253
CALB2,254
CALCB,255
CALCRL,256
CALCRL-AS1,257
CALD1,258
CALN1,259
CALY,260
CAMK1G,261
CAMK2N1,262
CAMK4,263
CAPG,264
CARD11,265
CARD18,266
CARMAL,267
CARMN,268
CASC15,269
CASP4LP,270
CASP8,271
CASR,272
CASS4,273
CATSPERB,274
CAV1,275
CAVIN1,276
CAVIN2,277
CAVIN2-AS1,278
CAVIN3,279
CBLN1,280
CCBE1,281
CCDC102B,282
CCDC13-AS1,283
CCDC141,284
CCDC171,285
CCDC178,286
CCDC181,287
CCDC26,288
CCDC3,289
CCDC80,290
CCK,291
CCL11,292
CCL13,293
CCL14,294
CCL17,295
CCL19,296
CCL2,297
CCL20,298
CCL21,299
CCL23,300
CCL24,301
CCL26,302
CCL3,303
CCL3-AS1,304
CCL3L3,305
CCL4,306
CCL4L2,307
CCL5,308
CCL7,309
CCL8,310
CCN1,311
CCN2,312
CCN3,313
CCN4,314
CCN5,315
CCNB2,316
CCNYL7,317
CCR1,318
CCR7,319
CCR8,320
CCSER1,321
CD109,322
CD14,323
CD160,324
CD163,325
CD163L1,326
CD19,327
CD1C,328
CD1E,329
CD2,330
CD200,331
CD200R1L-AS1,332
CD207,333
CD226,334
CD247,335
CD248,336
CD27,337
