cell_type,gene_symbol,mean_expression,total_expression_volume,n_cells_in_type
pancreatic acinar cell,ISG15,0.21890247,3600.0,16446
pancreatic acinar cell,TNFRSF4,0.0038307195,63.0,16446
pancreatic acinar cell,VWA1,0.45165873,7428.0,16446
pancreatic acinar cell,GABRD,0.00036483034,6.0,16446
pancreatic acinar cell,HES5,0.00036483034,6.0,16446
pancreatic acinar cell,ERRFI1,7.6515985,125832.0,16446
pancreatic acinar cell,SPSB1,0.45384765,7464.0,16446
pancreatic acinar cell,PIK3CD,0.105617255,1737.0,16446
pancreatic acinar cell,RBP7,0.12276421,2019.0,16446
pancreatic acinar cell,PGD,0.46023178,7569.0,16446
pancreatic acinar cell,PDPN,0.0082086865,135.0,16446
pancreatic acinar cell,KAZN,0.75664663,12444.0,16446
pancreatic acinar cell,PADI2,0.037394904,615.0,16446
pancreatic acinar cell,PADI4,0.003101058,51.0,16446
pancreatic acinar cell,IGSF21,0.001641736,27.0,16446
pancreatic acinar cell,PLA2G5,0.0043779644,72.0,16446
pancreatic acinar cell,CAMK2N1,0.14374284,2364.0,16446
pancreatic acinar cell,CDA,0.006384533,105.0,16446
pancreatic acinar cell,ALPL,0.010580084,174.0,16446
pancreatic acinar cell,C1QA,0.09686211,1593.0,16446
pancreatic acinar cell,C1QC,0.071688965,1179.0,16446
pancreatic acinar cell,C1QB,0.09248409,1521.0,16446
pancreatic acinar cell,RUNX3,0.009120762,150.0,16446
pancreatic acinar cell,MAN1C1,0.056000967,921.0,16446
pancreatic acinar cell,STMN1,0.34166574,5619.0,16446
pancreatic acinar cell,FAM110D,0.037212573,612.0,16446
pancreatic acinar cell,CD52,0.07150647,1176.0,16446
pancreatic acinar cell,FCN3,0.031922568,525.0,16446
pancreatic acinar cell,FGR,0.027362209,450.0,16446
pancreatic acinar cell,IFI6,0.16727564,2751.0,16446
pancreatic acinar cell,LAPTM5,0.12440661,2046.0,16446
pancreatic acinar cell,FAM167B,0.04377935,720.0,16446
pancreatic acinar cell,LCK,0.008208687,135.0,16446
pancreatic acinar cell,GJA4,0.02444357,402.0,16446
pancreatic acinar cell,EVA1B,0.14191882,2334.0,16446
pancreatic acinar cell,CSF3R,0.020430472,336.0,16446
pancreatic acinar cell,HEYL,0.79129356,13014.0,16446
pancreatic acinar cell,SMAP2,0.4357896,7167.0,16446
pancreatic acinar cell,TIE1,0.013863561,228.0,16446
pancreatic acinar cell,RNF220,0.35370487,5817.0,16446
pancreatic acinar cell,PIK3R3,0.058372527,960.0,16446
pancreatic acinar cell,CYP4B1,0.003648304,60.0,16446
pancreatic acinar cell,ELAVL4,0.003648304,60.0,16446
pancreatic acinar cell,SHISAL2A,0.005472457,90.0,16446
pancreatic acinar cell,PODN,0.0018241513,30.0,16446
pancreatic acinar cell,PLPP3,1.2815928,21078.0,16446
pancreatic acinar cell,TACSTD2,3.1007826,50997.0,16446
pancreatic acinar cell,CACHD1,1.3868412,22809.0,16446
pancreatic acinar cell,LEPR,0.16526891,2718.0,16446
pancreatic acinar cell,PDE4B,0.027362186,450.0,16446
pancreatic acinar cell,SGIP1,0.006202119,102.0,16446
pancreatic acinar cell,ST6GALNAC3,0.1293322,2127.0,16446
pancreatic acinar cell,NEXN,0.6211149,10215.0,16446
pancreatic acinar cell,GIPC2,3.052345,50202.0,16446
pancreatic acinar cell,IFI44L,0.016417373,270.0,16446
pancreatic acinar cell,ADGRL4,0.06931758,1140.0,16446
pancreatic acinar cell,CCN1,0.6814999,11208.0,16446
pancreatic acinar cell,GBP1,0.066398814,1092.0,16446
pancreatic acinar cell,GBP4,0.014958055,246.0,16446
pancreatic acinar cell,GBP5,0.0020065664,33.0,16446
pancreatic acinar cell,DIPK1A,0.31448603,5172.0,16446
pancreatic acinar cell,F3,0.38599053,6348.0,16446
pancreatic acinar cell,VCAM1,0.4098878,6741.0,16446
pancreatic acinar cell,S1PR1,0.028274305,465.0,16446
pancreatic acinar cell,EEIG2,0.19263315,3168.0,16446
pancreatic acinar cell,C1orf162,0.07515468,1236.0,16446
pancreatic acinar cell,TMIGD3,0.031010494,510.0,16446
pancreatic acinar cell,WNT2B,0.18314627,3012.0,16446
pancreatic acinar cell,SLC16A1-AS1,0.045968328,756.0,16446
pancreatic acinar cell,PTPN22,0.11674455,1920.0,16446
pancreatic acinar cell,OLFML3,0.13425694,2208.0,16446
pancreatic acinar cell,NGF,0.012951485,213.0,16446
pancreatic acinar cell,SLC22A15,0.24736065,4068.0,16446
pancreatic acinar cell,CD2,0.011492159,189.0,16446
pancreatic acinar cell,HMGCS2,0.3101073,5100.0,16446
pancreatic acinar cell,CD160,0.0021889815,36.0,16446
pancreatic acinar cell,TXNIP,5.750253,94566.0,16446
pancreatic acinar cell,GJA5,0.0012769061,21.0,16446
pancreatic acinar cell,S100A9,0.66179997,10884.0,16446
pancreatic acinar cell,S100A12,0.051440965,846.0,16446
pancreatic acinar cell,S100A8,0.43013537,7074.0,16446
pancreatic acinar cell,S100A4,0.44545826,7326.0,16446
pancreatic acinar cell,SHE,0.016417366,270.0,16446
pancreatic acinar cell,KCNN3,0.008391103,138.0,16446
pancreatic acinar cell,SEMA4A,0.09521989,1566.0,16446
pancreatic acinar cell,NES,0.012951486,213.0,16446
pancreatic acinar cell,CRABP2,0.012039404,198.0,16446
pancreatic acinar cell,KIRREL1,0.11072515,1821.0,16446
pancreatic acinar cell,CD1C,0.00091207586,15.0,16446
pancreatic acinar cell,MNDA,0.048704732,801.0,16446
pancreatic acinar cell,PYHIN1,0.0027362274,45.0,16446
pancreatic acinar cell,ACKR1,0.02280183,375.0,16446
pancreatic acinar cell,FCER1A,0.00036483034,6.0,16446
pancreatic acinar cell,APCS,0.03338182,549.0,16446
pancreatic acinar cell,DUSP23,0.6156434,10125.0,16446
pancreatic acinar cell,FCRL6,0.00091207586,15.0,16446
pancreatic acinar cell,ATP1A2,0.0007296607,12.0,16446
pancreatic acinar cell,SLAMF6,0.0036483037,60.0,16446
pancreatic acinar cell,SLAMF1,0.003465889,57.0,16446
pancreatic acinar cell,CD48,0.018971171,312.0,16446
pancreatic acinar cell,SLAMF7,0.0051076263,84.0,16446
pancreatic acinar cell,LY9,0.027909381,459.0,16446
pancreatic acinar cell,ADAMTS4,0.011856995,195.0,16446
pancreatic acinar cell,FCER1G,0.10233459,1683.0,16446
pancreatic acinar cell,HSPA6,0.13845257,2277.0,16446
pancreatic acinar cell,FCGR3A,0.030463273,501.0,16446
pancreatic acinar cell,FCGR3B,0.00018241517,3.0,16446
pancreatic acinar cell,FCGR2B,0.002371397,39.0,16446
pancreatic acinar cell,SH2D1B,0.00018241517,3.0,16446
pancreatic acinar cell,UAP1,1.5026577,24714.0,16446
pancreatic acinar cell,DDR2,0.10890098,1791.0,16446
pancreatic acinar cell,RGS5,0.07168871,1179.0,16446
pancreatic acinar cell,CD247,0.0102152545,168.0,16446
pancreatic acinar cell,XCL2,0.00036483034,6.0,16446
pancreatic acinar cell,DPT,0.0034658888,57.0,16446
pancreatic acinar cell,SLC19A2,0.47591835,7827.0,16446
pancreatic acinar cell,SELP,0.0012769061,21.0,16446
pancreatic acinar cell,SELL,0.004925211,81.0,16446
pancreatic acinar cell,FMO3,0.00036483034,6.0,16446
pancreatic acinar cell,FMO2,0.04232011,696.0,16446
pancreatic acinar cell,DNM3,0.14228378,2340.0,16446
pancreatic acinar cell,PRDX6-AS1,0.6160068,10131.0,16446
pancreatic acinar cell,ANGPTL1,0.25173688,4140.0,16446
pancreatic acinar cell,RGS16,0.019153563,315.0,16446
pancreatic acinar cell,NPL,0.0731479,1203.0,16446
pancreatic acinar cell,RGL1,0.24097398,3963.0,16446
pancreatic acinar cell,HMCN1,0.044144325,726.0,16446
pancreatic acinar cell,PTGS2,0.005837287,96.0,16446
pancreatic acinar cell,RGS18,0.0054724566,90.0,16446
pancreatic acinar cell,RGS1,0.029733608,489.0,16446
pancreatic acinar cell,RGS13,0.00492521,81.0,16446
pancreatic acinar cell,RGS2,0.46059805,7575.0,16446
pancreatic acinar cell,KCNT2,0.008026269,132.0,16446
pancreatic acinar cell,CFH,0.0056548724,93.0,16446
pancreatic acinar cell,CFHR1,0.0005472455,9.0,16446
pancreatic acinar cell,PTPRC,0.07406031,1218.0,16446
pancreatic acinar cell,MIR181A1HG,0.09175411,1509.0,16446
pancreatic acinar cell,LMOD1,0.0041955495,69.0,16446
pancreatic acinar cell,ELF3,1.7777542,29238.0,16446
pancreatic acinar cell,LGR6,0.00091207586,15.0,16446
pancreatic acinar cell,PRELP,0.010032839,165.0,16446
pancreatic acinar cell,NFASC,0.003465888,57.0,16446
pancreatic acinar cell,PM20D1,1.9758247,32496.0,16446
pancreatic acinar cell,FCMR,0.015140471,249.0,16446
pancreatic acinar cell,CR1,0.004377965,72.0,16446
pancreatic acinar cell,CD34,0.049799193,819.0,16446
pancreatic acinar cell,PLXNA2,4.1488495,68235.0,16446
pancreatic acinar cell,G0S2,0.14593206,2400.0,16446
pancreatic acinar cell,TRAF3IP3,0.007843856,129.0,16446
pancreatic acinar cell,ATF3,1.4490681,23832.0,16446
pancreatic acinar cell,CENPF,0.027726987,456.0,16446
pancreatic acinar cell,TGFB2,0.23860154,3924.0,16446
pancreatic acinar cell,SUSD4,0.18095824,2976.0,16446
pancreatic acinar cell,DISC1,0.13516915,2223.0,16446
pancreatic acinar cell,NID1,0.024808388,408.0,16446
pancreatic acinar cell,ERO1B,8.095972,133140.0,16446
pancreatic acinar cell,RYR2,1.9231179,31629.0,16446
pancreatic acinar cell,CHRM3,9.790608,161010.0,16446
pancreatic acinar cell,KIF26B,0.16435671,2703.0,16446
pancreatic acinar cell,PXDN,0.025902877,426.0,16446
pancreatic acinar cell,COLEC11,0.010032841,165.0,16446
pancreatic acinar cell,RSAD2,0.07223574,1188.0,16446
pancreatic acinar cell,LINC01871,0.007661438,126.0,16446
pancreatic acinar cell,ADCY3,0.083362915,1371.0,16446
pancreatic acinar cell,DNAJC27,0.18314682,3012.0,16446
pancreatic acinar cell,EMILIN1,0.0074790264,123.0,16446
pancreatic acinar cell,LBH,0.16472183,2709.0,16446
pancreatic acinar cell,LTBP1,0.09576726,1575.0,16446
pancreatic acinar cell,CYP1B1,0.019153556,315.0,16446
pancreatic acinar cell,SLC8A1,0.06858793,1128.0,16446
pancreatic acinar cell,PLEKHH2,0.30299398,4983.0,16446
pancreatic acinar cell,EFEMP1,0.17530215,2883.0,16446
pancreatic acinar cell,PELI1,0.37832955,6222.0,16446
pancreatic acinar cell,PLEK,0.024990845,411.0,16446
pancreatic acinar cell,ARHGAP25,0.08172128,1344.0,16446
pancreatic acinar cell,ANTXR1,0.043961782,723.0,16446
pancreatic acinar cell,MXD1,0.34221268,5628.0,16446
pancreatic acinar cell,DYSF,0.03137534,516.0,16446
pancreatic acinar cell,ACTG2,0.0,0.0,16446
pancreatic acinar cell,TMSB10,11.902972,195747.0,16446
pancreatic acinar cell,TCF7L1,0.34421965,5661.0,16446
pancreatic acinar cell,CAPG,0.36702013,6036.0,16446
pancreatic acinar cell,GNLY,0.009120764,150.0,16446
pancreatic acinar cell,CD8A,0.011674576,192.0,16446
pancreatic acinar cell,CD8B,0.0082086865,135.0,16446
pancreatic acinar cell,EIF2AK3,2.596542,42705.0,16446
pancreatic acinar cell,IGKC,0.9695358,15945.0,16446
pancreatic acinar cell,MAL,0.0038307195,63.0,16446
pancreatic acinar cell,ANKRD36C,0.5136769,8448.0,16446
pancreatic acinar cell,DUSP2,0.033199355,546.0,16446
pancreatic acinar cell,CRACDL,0.3013525,4956.0,16446
pancreatic acinar cell,AFF3,0.037942223,624.0,16446
pancreatic acinar cell,LONRF2,0.52589864,8649.0,16446
pancreatic acinar cell,IL1R2,0.04432676,729.0,16446
pancreatic acinar cell,IL1RL1,0.0020065664,33.0,16446
pancreatic acinar cell,IL18R1,0.008573518,141.0,16446
pancreatic acinar cell,TMEM182,0.20649695,3396.0,16446
pancreatic acinar cell,FHL2,0.0107625015,177.0,16446
pancreatic acinar cell,ECRG4,0.029368712,483.0,16446
pancreatic acinar cell,MERTK,0.2063152,3393.0,16446
pancreatic acinar cell,SLC20A1,0.28274608,4650.0,16446
pancreatic acinar cell,IL1B,0.028821541,474.0,16446
pancreatic acinar cell,IL1RN,0.0047427947,78.0,16446
pancreatic acinar cell,MARCO,0.006749363,111.0,16446
pancreatic acinar cell,INHBB,0.022984253,378.0,16446
pancreatic acinar cell,LIMS2,0.02772701,456.0,16446
pancreatic acinar cell,CXCR4,0.016234957,267.0,16446
pancreatic acinar cell,KYNU,0.031010507,510.0,16446
pancreatic acinar cell,ARHGAP15,0.05964953,981.0,16446
pancreatic acinar cell,ZEB2,0.10871915,1788.0,16446
pancreatic acinar cell,TNFAIP6,0.003101058,51.0,16446
pancreatic acinar cell,FMNL2,1.4426714,23727.0,16446
pancreatic acinar cell,NR4A2,0.34257728,5634.0,16446
pancreatic acinar cell,CYTIP,0.13425681,2208.0,16446
pancreatic acinar cell,FAP,0.007114195,117.0,16446
pancreatic acinar cell,SLC38A11,0.1842405,3030.0,16446
pancreatic acinar cell,SCN3A,0.0045603802,75.0,16446
pancreatic acinar cell,CSRNP3,0.54304624,8931.0,16446
pancreatic acinar cell,SCN7A,0.012769065,210.0,16446
pancreatic acinar cell,KLHL23,0.49452668,8133.0,16446
pancreatic acinar cell,RAPGEF4,0.16982937,2793.0,16446
pancreatic acinar cell,CHN1,0.06895239,1134.0,16446
pancreatic acinar cell,CCDC141,0.5682193,9345.0,16446
pancreatic acinar cell,LINC01934,0.011127331,183.0,16446
pancreatic acinar cell,PDE1A,0.07187104,1182.0,16446
pancreatic acinar cell,FRZB,0.0054724575,90.0,16446
pancreatic acinar cell,CALCRL,0.07132413,1173.0,16446
pancreatic acinar cell,TFPI,0.3887276,6393.0,16446
pancreatic acinar cell,COL3A1,0.012039407,198.0,16446
pancreatic acinar cell,COL5A2,0.12659505,2082.0,16446
pancreatic acinar cell,STAT4,0.07716102,1269.0,16446
pancreatic acinar cell,NABP1,0.10324595,1698.0,16446
pancreatic acinar cell,CAVIN2,0.08062692,1326.0,16446
pancreatic acinar cell,HECW2,0.03447636,567.0,16446
pancreatic acinar cell,PGAP1,0.6307809,10374.0,16446
pancreatic acinar cell,PLCL1,0.41937315,6897.0,16446
pancreatic acinar cell,CASP8,0.21069366,3465.0,16446
pancreatic acinar cell,ICOS,0.0020065664,33.0,16446
pancreatic acinar cell,ADAM23,0.009485595,156.0,16446
pancreatic acinar cell,LINC01857,0.001276906,21.0,16446
pancreatic acinar cell,FN1,0.09686186,1593.0,16446
pancreatic acinar cell,IGFBP5,0.038854357,639.0,16446
pancreatic acinar cell,SLC11A1,0.08646407,1422.0,16446
pancreatic acinar cell,WNT6,0.002188982,36.0,16446
pancreatic acinar cell,DES,0.00018241517,3.0,16446
pancreatic acinar cell,EPHA4,0.031010522,510.0,16446
pancreatic acinar cell,KCNE4,0.032834575,540.0,16446
pancreatic acinar cell,SERPINE2,0.039036565,642.0,16446
pancreatic acinar cell,PID1,0.39675254,6525.0,16446
pancreatic acinar cell,SP140,0.007114195,117.0,16446
pancreatic acinar cell,EFHD1,0.010580087,174.0,16446
pancreatic acinar cell,ARL4C,0.3214175,5286.0,16446
pancreatic acinar cell,COL6A3,0.039948784,657.0,16446
pancreatic acinar cell,SNED1,0.8246883,13563.0,16446
pancreatic acinar cell,PASK,0.075701505,1245.0,16446
pancreatic acinar cell,CNTN4,1.0603685,17439.0,16446
pancreatic acinar cell,BHLHE40,0.3068245,5046.0,16446
pancreatic acinar cell,SSUH2,0.0025538122,42.0,16446
pancreatic acinar cell,TIMP4,0.0076614395,126.0,16446
pancreatic acinar cell,PPARG,0.036482934,600.0,16446
pancreatic acinar cell,FBLN2,0.005107626,84.0,16446
pancreatic acinar cell,FGD5,0.0147756385,243.0,16446
pancreatic acinar cell,SH3BP5,0.079349875,1305.0,16446
pancreatic acinar cell,GALNT15,0.033017024,543.0,16446
pancreatic acinar cell,OXNAD1,0.2840244,4671.0,16446
pancreatic acinar cell,RFTN1,0.025538072,420.0,16446
pancreatic acinar cell,ZNF385D,0.06785806,1116.0,16446
pancreatic acinar cell,RARB,0.029733565,489.0,16446
pancreatic acinar cell,SLC4A7,0.1415543,2328.0,16446
pancreatic acinar cell,LINC02084,0.0018241511,30.0,16446
pancreatic acinar cell,EOMES,0.00930318,153.0,16446
pancreatic acinar cell,RBMS3,0.34732,5712.0,16446
pancreatic acinar cell,SUSD5,0.0014593211,24.0,16446
pancreatic acinar cell,ITGA9,0.029368725,483.0,16446
