gene1,gene2,combined_score
SLC7A2,ARG1,841
HSPB6,HSPB8,793
PDK4,ANGPTL4,739
CX3CL1,CXCL12,893
CX3CL1,CXCL8,845
CX3CL1,IL10,815
CX3CL1,CCL19,801
CX3CL1,CSF2,953
CX3CL1,IFNG,923
CX3CL1,CCL21,931
CX3CL1,CXCL1,939
CX3CL1,CCL5,971
CX3CL1,CSF3,942
CX3CL1,CD8A,704
CX3CL1,CXCL13,860
CX3CL1,FGF13,968
CX3CL1,CCL26,730
CX3CL1,GNAI1,800
CX3CL1,CXCL3,795
CX3CL1,FGF2,971
CX3CL1,CCL20,920
CX3CL1,CSF1R,711
CX3CL1,IL1B,839
CX3CL1,TNF,814
CX3CL1,CXCR1,994
CX3CL1,CX3CR1,999
CX3CL1,IL7,702
CX3CL1,CXCR6,939
CX3CL1,CCR3,930
CX3CL1,CCL7,870
CX3CL1,IL2,743
CX3CL1,ICAM1,725
CX3CL1,CCL3,733
CX3CL1,CCL2,831
CX3CL1,ITGAM,729
CX3CL1,CCL4,904
CX3CL1,CXCR2,915
CX3CL1,CCR9,832
CX3CL1,IL6,735
CX3CL1,CXCL2,798
CX3CL1,CXCL9,926
PGLYRP1,CTSG,762
PGLYRP1,BPI,713
PGLYRP1,TREM1,920
PGLYRP1,DEFA4,829
PGLYRP1,MMP8,732
PGLYRP1,LTF,781
MYOC,CYP1B1,944
MYOC,FN1,777
MYOC,SPARCL1,856
MYOC,SNCG,731
MYOC,FBN1,909
TLL1,TBX20,706
PKP2,DSG2,999
PKP2,CDH2,773
PKP2,GJA1,973
PKP2,RYR2,828
PKP2,CTNNA3,982
CD22,DNTT,777
CD22,FCGR3A,726
CD22,CD38,787
CD22,VPREB3,712
CD22,ITGAX,762
CD22,BLK,734
CD22,FCGR3B,714
CD22,LYN,970
CD22,MS4A1,928
CD22,BLNK,750
CD22,CD79A,985
CD22,PAX5,796
CD22,SYK,959
CD22,MME,841
CD22,NOX5,751
CD22,BTLA,746
CD22,ITGAM,743
CD22,FFAR2,781
LMCD1,GATA6,963
CTTNBP2,KCND2,702
CEACAM1,CEACAM8,799
CEACAM1,CEACAM6,878
KRT14,TP63,790
KRT14,KRT5,999
KRT14,PKP1,777
KRT14,KRT17,814
KRT14,KRT15,731
KRT14,KRT6A,732
NTN1,SEMA3A,738
NTN1,UNC5D,986
NTN1,DCC,999
NTN1,UNC5C,999
NTN1,ROBO2,865
NTN1,SLIT3,900
NTN1,SLIT2,821
CLIC5,XIRP2,839
HBQ1,HBB,950
HBQ1,HBA2,828
HBQ1,AHSP,941
HBQ1,HP,718
HBQ1,EPB42,869
HBQ1,HBG1,847
HBQ1,ALAS2,795
HBQ1,HBM,909
HBQ1,HBD,990
CEACAM6,FN1,707
CEACAM6,CEACAM8,993
CEACAM6,DEFA4,715
CEACAM6,CEACAM1,878
CETP,PLA2G7,861
CETP,SAA1,783
CETP,APOE,974
CETP,APOC1,985
CETP,LPL,940
CETP,CLU,887
CETP,LIPC,949
CETP,SAA2,763
CETP,SCARB1,800
CETP,PLTP,851
TPSD1,TPSAB1,977
TPSD1,TPSB2,931
XBP1,ATF3,824
XBP1,DERL3,712
XBP1,RPS12,800
XBP1,IRF4,814
XBP1,ESR1,760
XBP1,PAX5,755
XBP1,IL1B,709
HMOX1,TNF,792
HMOX1,IL1B,817
HMOX1,IL6,810
HMOX1,EDN1,735
HMOX1,CP,942
HMOX1,GPX3,844
HMOX1,IL10,726
HMOX1,CYBB,712
HMOX1,PTGS2,789
HMOX1,PPARG,784
CTSG,ELANE,999
CTSG,SERPINB3,932
CTSG,PADI4,754
CTSG,MPO,999
CTSG,LYZ,836
CTSG,BPI,959
CTSG,SERPINB10,924
CTSG,PRTN3,997
CTSG,RNASE3,902
CTSG,CEACAM8,726
CTSG,AGT,912
CTSG,CPA3,812
CTSG,F2RL3,755
CTSG,DEFA4,932
CTSG,SLPI,892
CTSG,PGLYRP1,762
CTSG,AZU1,977
CTSG,SERPINB4,973
CTSG,LTF,997
CTSG,SERPINA1,805
CTSG,MS4A3,797
CTSG,MMP9,992
GZMH,CST7,721
GZMH,KLRB1,712
GZMH,AGT,755
GZMH,GZMA,877
GZMH,CTSW,765
GZMH,FGFBP2,905
GZMH,EOMES,776
GZMH,KLRD1,877
GZMH,PRF1,935
GZMH,CD8A,895
GZMH,CCL5,869
GZMH,NKG7,969
GZMH,GNLY,958
GZMH,GZMB,847
GZMH,GZMK,878
GZMB,ITGAM,733
GZMB,CCL4,748
GZMB,CXCL9,728
GZMB,KLRD1,863
GZMB,EOMES,843
GZMB,KLRB1,787
GZMB,TNF,870
GZMB,IL1B,765
GZMB,CTLA4,827
GZMB,CD86,819
GZMB,GZMA,904
GZMB,IL2,887
GZMB,TNFRSF9,795
GZMB,IL22,712
GZMB,GZMH,847
GZMB,NCAM1,871
GZMB,ITGAX,713
GZMB,TIGIT,769
GZMB,FCGR3B,765
GZMB,KLRG1,771
GZMB,KLRC1,741
GZMB,IL10,787
GZMB,B3GAT1,724
GZMB,PRF1,999
GZMB,NCR1,753
GZMB,GNLY,995
GZMB,CCL5,865
GZMB,NKG7,917
GZMB,FCGR3A,799
GZMB,CSF2,775
GZMB,IFNG,956
GZMB,CD38,786
GZMB,CD8A,963
PYGL,GBE1,998
PYGL,ENO3,727
PYGL,MB,765
PYGL,CALML3,861
PYGL,PGM5,844
PYGL,MGAM,970
PYGL,CALML5,861
PYGL,MGAM2,952
PYGL,ENPP1,913
EEF1A2,PAPSS2,915
LBP,BPI,857
LBP,CD14,991
LBP,TLR2,712
LBP,HP,762
LBP,IL6,860
STS,SULT1E1,865
STS,CYP7B1,900
STS,ARSB,708
STS,CYP1A1,921
GLRA2,NOVA1,850
TIMP1,HGF,745
TIMP1,IL10,954
TIMP1,CXCL8,780
TIMP1,MMP16,777
TIMP1,PLAUR,768
TIMP1,MMP9,999
TIMP1,CXCL12,737
TIMP1,CCL5,740
TIMP1,MMP7,925
TIMP1,IFNG,760
TIMP1,MMP3,999
TIMP1,SERPINE1,840
TIMP1,MMP8,835
TIMP1,FGF2,770
TIMP1,MMP12,923
TIMP1,ADAMTS5,731
TIMP1,A2M,736
TIMP1,ADAMTS4,775
TIMP1,ASTL,729
TIMP1,MMP2,997
TIMP1,TNF,727
TIMP1,IL1B,791
TIMP1,THBS1,762
TIMP1,COL1A1,842
TIMP1,CTSV,705
TIMP1,ICAM1,825
TIMP1,ADAMTS3,745
TIMP1,CCL2,867
TIMP1,CCN2,816
TIMP1,FN1,954
TIMP1,IL6,938
TIMP1,SPP1,781
TIMP1,LCN2,850
SGCG,TCAP,742
