source,target,weight,resources,references,sign_decision
RBPJ,HES1,1.0,DoRothEA-A;ExTRI;GOA;Pavlidis2021;SIGNOR;TFactS,10066785;10205173;10520600;10933396;11120788;11866432;12814948;17611704;21311046;22718343;7566092;9819428,PMID
HES1,HES1,1.0,ExTRI;Pavlidis2021,10066785;12682059;14722248;15110721;15536134;16916793;18852286;19109490;19124651;19321451;21205878;22167192;22172337;23267012;23990620;24185616;9570134,default activation
PPARG,SERPINE2,1.0,ExTRI;NTNU.Curated,10073956,PMID
PPARG,SERPINE1,-1.0,ExTRI;GEREDB;NTNU.Curated;TRRUST,10073956;10329404;11230363;14581151;15990085;16843437;17906687;17995524;18278065,PMID
PPARG,LPL,1.0,ExTRI;NTNU.Curated,10098492;17658475;18948972;8895578,PMID
ESR1,CRYAB,1.0,ExTRI,10207098,default activation
RUNX2,RUNX2,1.0,ExTRI;NTNU.Curated;SIGNOR,10215629;11331591;12112009;12890574,PMID
LEF1,CCND1,1.0,ExTRI;NTNU.Curated;Pavlidis2021;SIGNOR;TRRUST,10318916;12748295;15798764;17360796;17666529;17885813;19620402;19653274,PMID
HES1,FCER1G,1.0,ExTRI,10329626,default activation
ASCL1,NGF,1.0,ExTRI,10336252,default activation
HES1,NGF,1.0,ExTRI,10336252,default activation
PAX5,IL2,1.0,ExTRI,10336503,default activation
WT1,THBS1,1.0,ExTRI;TRRUST,10340386;15542786;15618543,default activation
TP63,IL12B,1.0,ExTRI,10352297;11254706;11449355;12417340;14688340;15251981;15270850;15482860;17635610;19554267,default activation
LEF1,MMP7,1.0,ExTRI;NTNU.Curated;Pavlidis2021;TFactS;TRRUST,10362259;10514384;11158322;11943708;12200448;12782598;12958188;15457508;22686279,PMID
RBPJ,IL6,1.0,CytReg;ExTRI;TRRUST,10329846;10373597;11886848;12200447;8972179;9199307;9502421;9516466,PMID
XBP1,IL6,-1.0,CytReg;ExTRI;GEREDB;TRRUST,10375612;12612580;16931790,PMID
NR4A3,IL2,1.0,ExTRI,10382746,default activation
WT1,ABCB1,1.0,ExTRI;TRRUST,10392899;10860921;11734301,default activation
MITF,TPSB2,1.0,ExTRI;TFactS,10405322;10467408;11741327;11751862;15451032;15464728;19067971;1999537;7802662;8839840;9376586,PMID
WT1,WT1,-1.0,ExTRI;HTRI;NTNU.Curated,10406804;10452544;11221883;11243407;11299720;12738801;14701728;14988020;15540161;15607745;17119250;17605874;17634147;17956689;18064385;18483696;18708366;19212333;20066433;20237505;21343363;21378152;24534946;24607494;7478583;7791758;7890725;8119964;8530399;8621487;8760285;9178767;9388203,PMID
ESR1,CKB,1.0,ExTRI;NTNU.Curated,10411295;17272396,PMID
ESR1,C3,1.0,ExTRI;NTNU.Curated,10418989;17478088;8961270,default activation
PPARG,FABP4,1.0,ExTRI;GEREDB;NTNU.Curated;SIGNOR;TRRUST,10425206;10935488;11574398;16854242;17322100;20160124;20656057;21047783;23805908;8943212;9831621,PMID
ESR1,SPP1,1.0,ExTRI;NTNU.Curated,10428965;11522780;12761896;18234909;9869301,PMID
PPARG,CD36,1.0,ExTRI;NTNU.Curated;Pavlidis2021;TRRUST,10432118;11595817;11795270;11867619;14752028;15104237;16407258;16556603;16959872;17322100;18072748;18242221;18948972;20950277;25721714,PMID
PAX5,CD79A,1.0,ExTRI;GEREDB;TRRUST,10435576;11779502;12446773;12612069;14500810;15361869;18641300;19616560;8804314;9545244;9743352,PMID
IRF4,IL1B,1.0,CytReg;ExTRI,10453013;11359842;12676954;16439360;18566416,PMID
PAX5,BLK,1.0,ExTRI;Pavlidis2021;TRRUST,10455134;10553071;14594818;18697940;8195169;8759736;9660839,default activation
WT1,AREG,1.0,ExTRI;SIGNOR,10490105;14736876;19416806,PMID
