gene_symbol,gene_id
7SK,0
A2M,1
A2ML1,2
A2MP1,3
AADACP1,4
ABCA10,5
ABCA12,6
ABCA13,7
ABCA6,8
ABCA8,9
ABCA9,10
ABCA9-AS1,11
ABCB1,12
ABCB10P4,13
ABCB11,14
ABCB5,15
ABCC13,16
ABCC9,17
ABI3BP,18
ABLIM2,19
ABLIM3,20
ABTB2,21
ABTB3,22
ACADL,23
ACE2,24
ACER2,25
ACKR1,26
ACKR3,27
ACOXL,28
ACSL1,29
ACSM2B,30
ACSM3,31
ACTA1,32
ACTA2,33
ACTBP8,34
ACTC1,35
ACTG1P13,36
ACTG2,37
ACTN2,38
ADAM12,39
ADAM22,40
ADAM23,41
ADAM28,42
ADAM29,43
ADAM7-AS1,44
ADAMTS1,45
ADAMTS12,46
ADAMTS17,47
ADAMTS18,48
ADAMTS19,49
ADAMTS3,50
ADAMTS4,51
ADAMTS5,52
ADAMTS6,53
ADAMTS9,54
ADAMTS9-AS1,55
ADAMTS9-AS2,56
ADAMTSL1,57
ADAMTSL3,58
ADARB2,59
ADCY2,60
ADCYAP1,61
ADGRB3,62
ADGRD1,63
ADGRE2,64
ADGRE3,65
ADGRF5,66
ADGRF5-AS1,67
ADGRG2,68
ADGRG3,69
ADGRG5,70
ADGRG6,71
ADGRL3,72
ADGRL4,73
ADGRV1,74
ADH1B,75
ADH1C,76
ADI1P1,77
ADIRF,78
ADM,79
ADRA1A,80
ADRA2A,81
AFF2,82
AGA-DT,83
AGBL1,84
AGBL3,85
AGBL4,86
AGMO,87
AGT,88
AGTR1,89
AHSP,90
AIF1,91
AIF1L,92
AIRE,93
AK5,94
AKAP12,95
AKAP6,96
ALAS2,97
ALCAM,98
ALDH1A1,99
ALDH1A2,100
ALDH1A3,101
ALG1L3P,102
ALKAL2,103
ALOX12P2,104
ALOX5,105
ALPL,106
ANGPT1,107
ANGPT4,108
ANGPTL4,109
ANGPTL7,110
ANK1,111
ANK2,112
ANKFN1,113
ANKRD1,114
ANKRD18A,115
ANKRD2,116
ANKRD29,117
ANKRD33B,118
ANKRD33BP5,119
ANKRD36BP2,120
ANKRD55,121
ANKS1B,122
ANO1,123
ANO2,124
ANO3,125
ANO5,126
ANXA3,127
ANXA8,128
AOAH,129
AOX2P,130
AP3S1P1,131
APBA1,132
APCDD1,133
APLNR,134
APOC1,135
APOD,136
APOE,137
AQP1,138
AQP4-AS1,139
AQP7,140
AQP9,141
ARC,142
AREG,143
ARG1,144
ARHGAP20,145
ARHGAP31,146
ARHGEF17,147
ARHGEF28,148
ARL5C,149
ARMC8P1,150
ARPP21,151
ARPP21-AS1,152
ARSB,153
ASB5,154
ASCL1,155
ASIC2,156
ASPM,157
ASPN,158
ASTL,159
ASTN2,160
ATF3,161
ATOH8,162
ATP1A2,163
ATP2A1,164
ATP5F1AP1,165
ATP5MC2P2,166
ATP8A2,167
ATP8B4,168
ATRNL1,169
AVPR1A,170
AZU1,171
B3GALT1,172
B3GAT1,173
B3GNT5,174
B4GALNT3,175
BAGE2,176
BANF1P5,177
BANK1,178
BARX2,179
BASP1,180
BATF,181
BBOX1-AS1,182
BCAT1,183
BCL10-AS1,184
BCL11A,185
BCL2A1,186
BCYRN1,187
BEST2,188
BEST3,189
BEX1,190
BFSP2,191
BFSP2-AS1,192
BGN,193
BICC1,194
BICDL1,195
BLK,196
BLNK,197
BMP2,198
BMP5,199
BMP6,200
BMPER,201
BMPR1B,202
BMS1P10,203
BMX,204
BPI,205
BRINP1,206
BRINP3,207
BRIP1,208
BTLA,209
BTNL8,210
BTNL9,211
C10orf90,212
C11orf96,213
C12orf75,214
C15orf48,215
C17orf58,216
C19orf33,217
C1QA,218
C1QB,219
C1QC,220
C1QTNF1,221
C1R,222
C2CD4B,223
C3,224
C3AR1,225
C5AR1,226
C5AR2,227
C7,228
C8orf34,229
C9,230
CA1,231
CA10,232
CA2,233
CA3,234
CA4,235
CA8,236
CABCOCO1,237
CACHD1,238
CACNA1A,239
CACNA1C,240
CACNA1E,241
CACNA2D3,242
CACNB2,243
CADM1,244
CADM2,245
CADPS,246
CALB2,247
CALCA,248
CALCR,249
CALCRL,250
CALCRL-AS1,251
CALML3,252
CALML5,253
CALN1,254
CAP2,255
CAPSL,256
CARMIL1,257
CARMN,258
CASC15,259
CASC19,260
CASC9,261
CASKP1,262
CASQ2,263
CAV1,264
CAVIN2,265
CAVIN2-AS1,266
CAVIN4,267
CBX3P8,268
CC2D2B,269
CCBE1,270
CCDC102B,271
CCDC121P1,272
CCDC13-AS1,273
CCDC141,274
CCDC171,275
CCDC177,276
CCDC178,277
CCDC181,278
CCDC26,279
CCDC3,280
CCDC60,281
CCDC68,282
CCDC80,283
CCL14,284
CCL18,285
CCL19,286
CCL2,287
CCL20,288
CCL21,289
CCL23,290
CCL26,291
CCL3,292
CCL3-AS1,293
CCL3L3,294
CCL4,295
CCL4L2,296
CCL5,297
CCL7,298
CCL8,299
CCN1,300
CCN2,301
CCN3,302
CCN5,303
CCND1,304
CCND3P2,305
CCNJL,306
CCR3,307
CCR9,308
CCSER1,309
CD109,310
CD14,311
CD163,312
CD163L1,313
CD177,314
CD1A,315
CD1E,316
CD22,317
CD24,318
CD248,319
CD300LG,320
CD36,321
CD38,322
CD5L,323
CD70,324
CD79A,325
CD83,326
CD86,327
CD8A,328
CD8B,329
CD9,330
CDA,331
CDCP1,332
CDH11,333
CDH12,334
CDH13,335
CDH16,336
CDH18,337
CDH19,338
CDH2,339
CDH20,340
CDH5,341
CDH6,342
CDIN1,343
CDK15,344
CDK6-AS1,345
CEACAM1,346
CEACAM6,347
CEACAM8,348
CECR2,349
CEMIP,350
CENPF,351
CERKL,352
CETP,353
CFAP299,354
CFAP418-AS1,355
CFAP47,356
CFAP53P1,357
CFAP58,358
CFAP61,359
CFAP74,360
CFD,361
CH25H,362
CHI3L1,363
CHL1,364
CHMP1B2P,365
CHN1,366
CHODL,367
CHRM3,368
CHSY3,369
CICP23,370
CILP,371
CKB,372
CKM,373
CLC,374
CLDN1,375
CLDN10,376
CLDN10-AS1,377
CLDN3,378
CLDN4,379
CLDN5,380
CLEC12A,381
CLEC14A,382
CLEC1A,383
CLEC4D,384
CLEC4E,385
CLEC4OP,386
CLEC5A,387
CLEC7A,388
CLECL1P,389
CLIC3,390
CLIC5,391
CLK3P2,392
CLMN,393
CLNK,394
CLSTN2,395
CLTCL1,396
CLU,397
CLVS1,398
CMA1,399
CMTM2,400
CMYA5,401
CNBD1,402
CNGA1,403
CNGA2,404
CNKSR3,405
CNN1,406
CNR1,407
CNR2,408
CNTN1,409
CNTN3,410
CNTN4,411
CNTN5,412
CNTNAP2,413
CNTNAP3,414
CNTNAP3B,415
