embedding_dim,model_type,seed,rho,p_value
4,hyperbolic,0,0.6449093775337693,0.00089260747660259
4,hyperbolic,1,0.6970793271793582,0.0002187710028551001
4,hyperbolic,2,0.7081793164656536,0.0001561847249702532
4,hyperbolic,3,0.6748793486067671,0.00041149284582217305
4,hyperbolic,4,0.6215994000325488,0.001544429528100043
4,hyperbolic,5,0.7192793057519492,0.00010978967744233555
4,hyperbolic,6,0.6016194193172167,0.0023906852100920527
4,hyperbolic,7,0.6648893582491011,0.0005377028848097766
4,hyperbolic,8,0.5161495018127413,0.011692659693525672
4,hyperbolic,9,0.7525792736108358,3.4301148393717327e-05
4,euclidean,0,0.5749794450301076,0.0041037421544526395
4,euclidean,1,0.5749794450301076,0.0041037421544526395
4,euclidean,2,0.5183694996700003,0.01127617858988561
4,euclidean,3,0.6537893689628057,0.0007157566704500176
4,euclidean,4,0.4162495982360817,0.04819452522012018
4,euclidean,5,0.586079434316403,0.003294682080735563
4,euclidean,6,0.6349193871761033,0.0011351171686890408
4,euclidean,7,0.6460193764623989,0.0008686345207295793
4,euclidean,8,0.49505952216877985,0.016315530302990724
4,euclidean,9,0.6349193871761033,0.0011351171686890408
8,hyperbolic,0,0.6526793700341761,0.0007360677091831086
8,hyperbolic,1,0.7681192586116495,1.870952166951882e-05
8,hyperbolic,2,0.5638794557438119,0.005073404724203479
8,hyperbolic,3,0.6970793271793582,0.0002187710028551001
8,hyperbolic,4,0.5905194300309212,0.003011067555318724
8,hyperbolic,5,0.5516694675288869,0.006354268925855646
8,hyperbolic,6,0.6193794021752895,0.0016235933215226425
8,hyperbolic,7,0.7414792843245401,5.152703879885499e-05
8,hyperbolic,8,0.6193794021752895,0.0016235933215226425
8,hyperbolic,9,0.61826940324666,0.001664453146749584
8,euclidean,0,0.5971794236026986,0.0026244101754293115
8,euclidean,1,0.6571193657486943,0.0006576853302094884
8,euclidean,2,0.6415793807478806,0.0009679586691972618
8,euclidean,3,0.6304793914615852,0.0012597681907854088
8,euclidean,4,0.4539895618094864,0.029552389562540873
8,euclidean,5,0.6304793914615852,0.0012597681907854088
8,euclidean,6,0.6304793914615852,0.0012597681907854088
8,euclidean,7,0.6415793807478806,0.0009679586691972618
8,euclidean,8,0.6338093882474738,0.0011652462961011841
8,euclidean,9,0.5905194300309212,0.003011067555318724
16,hyperbolic,0,0.6171594043180305,0.0017061846014746673
16,hyperbolic,1,0.6460193764623989,0.0008686345207295793
16,hyperbolic,2,0.6193794021752895,0.0016235933215226425
16,hyperbolic,3,0.6304793914615852,0.0012597681907854088
16,hyperbolic,4,0.6415793807478806,0.0009679586691972618
16,hyperbolic,5,0.6082794128889941,0.0020732531767799615
16,hyperbolic,6,0.6415793807478806,0.0009679586691972618
16,hyperbolic,7,0.6127194086035123,0.0018821293172366837
16,hyperbolic,8,0.6304793914615852,0.0012597681907854088
16,hyperbolic,9,0.6127194086035123,0.0018821293172366837
16,euclidean,0,0.586079434316403,0.003294682080735563
16,euclidean,1,0.6671093561063604,0.0005070985802922472
16,euclidean,2,0.6637793593204717,0.0005535925379097537
16,euclidean,3,0.6415793807478806,0.0009679586691972618
16,euclidean,4,0.6626693603918421,0.000569884849419304
16,euclidean,5,0.6526793700341761,0.0007360677091831086
16,euclidean,6,0.6304793914615852,0.0012597681907854088
16,euclidean,7,0.6637793593204717,0.0005535925379097537
16,euclidean,8,0.5971794236026986,0.0026244101754293115
16,euclidean,9,0.6415793807478806,0.0009679586691972618
32,hyperbolic,0,0.4473295682377092,0.032337139834780565
32,hyperbolic,1,0.4140296003788226,0.04952445436172059
32,hyperbolic,2,0.3851696282344543,0.06953051915670921
32,hyperbolic,3,0.4029296110925271,0.05660666751758365
32,hyperbolic,4,0.3851696282344543,0.06953051915670921
32,hyperbolic,5,0.3851696282344543,0.06953051915670921
32,hyperbolic,6,0.4251295896651181,0.04315045034408516
32,hyperbolic,7,0.39626961752074974,0.061215820759016645
32,hyperbolic,8,0.3918296218062316,0.06444488276370898
32,hyperbolic,9,0.36962964323364056,0.08257921857310274
32,euclidean,0,0.5971794236026986,0.0026244101754293115
32,euclidean,1,0.6304793914615852,0.0012597681907854088
32,euclidean,2,0.5971794236026986,0.0026244101754293115
32,euclidean,3,0.6304793914615852,0.0012597681907854088
32,euclidean,4,0.6071694139603645,0.0021235264876114258
32,euclidean,5,0.6193794021752895,0.0016235933215226425
32,euclidean,6,0.6193794021752895,0.0016235933215226425
32,euclidean,7,0.6082794128889941,0.0020732531767799615
32,euclidean,8,0.5627694568151825,0.005180109595965875
32,euclidean,9,0.6637793593204717,0.0005535925379097537
