embedding_dim,model_type,seed,rho,p_value
4,hyperbolic,0,0.38348553792346846,0.1425764350199267
4,hyperbolic,1,0.2001458385178261,0.4573531895736317
4,hyperbolic,2,0.32695579727339535,0.21643664224639766
4,hyperbolic,3,0.23986944005571528,0.3708873665802164
4,hyperbolic,4,0.3300114589301561,0.21191976811163554
4,hyperbolic,5,0.33917844390043816,0.1987341447471841
4,hyperbolic,6,0.3697350604680452,0.15868393734779668
4,hyperbolic,7,0.32542796644501504,0.2187179631397722
4,hyperbolic,8,0.38348553792346846,0.1425764350199267
4,hyperbolic,9,0.35598458301262204,0.17597073898705398
4,euclidean,0,0.20625716183134754,0.4434374255777874
4,euclidean,1,0.17722837609212086,0.511414041529029
4,euclidean,2,0.019861800768944577,0.9417988704023957
4,euclidean,3,0.07791937224739795,0.7742419216301129
4,euclidean,4,0.09166984970282113,0.7356291192923038
4,euclidean,5,0.07486371059063726,0.7828937478556234
4,euclidean,6,0.16347789863669768,0.5452053260708575
4,euclidean,7,0.16347789863669768,0.5452053260708575
4,euclidean,8,0.17722837609212086,0.511414041529029
4,euclidean,9,0.07486371059063726,0.7828937478556234
8,hyperbolic,0,0.35598458301262204,0.17597073898705398
8,hyperbolic,1,0.2902878573922669,0.2754211231248391
8,hyperbolic,2,0.6279384704643247,0.00919947723173087
8,hyperbolic,3,0.3223723047882543,0.22332644075979016
8,hyperbolic,4,0.6523837637184103,0.006160532190051978
8,hyperbolic,5,0.48737803425333237,0.055507353600120685
8,hyperbolic,6,0.7929441999294029,0.00024806483990051024
8,hyperbolic,7,0.5729365606426321,0.020350297342312824
8,hyperbolic,8,0.759331921705035,0.000645391943670274
8,hyperbolic,9,0.5866870380980553,0.016897908706093867
8,euclidean,0,0.061113233135214086,0.8221095332031734
8,euclidean,1,0.17570054526374052,0.5151199717473449
8,euclidean,2,0.12222646627042817,0.6520297484062758
8,euclidean,3,0.11917080461366748,0.6602355011834392
8,euclidean,4,0.061113233135214086,0.8221095332031734
8,euclidean,5,0.14819959035289418,0.5838622780960724
8,euclidean,6,0.6096045005237605,0.012173555965265094
8,euclidean,7,0.09166984970282113,0.7356291192923038
8,euclidean,8,0.22153547011515104,0.4096097977258648
8,euclidean,9,0.14819959035289418,0.5838622780960724
16,hyperbolic,0,0.14667175952451383,0.5877892994935848
16,hyperbolic,1,0.48279454176819137,0.05819505589764531
16,hyperbolic,2,0.4705718951411485,0.06583014448793935
16,hyperbolic,3,-0.04125143236626951,0.8794360116900363
16,hyperbolic,4,0.14514392869613346,0.5917271279470504
16,hyperbolic,5,0.32542796644501504,0.2187179631397722
16,hyperbolic,6,0.37737421460994697,0.14959140964210324
16,hyperbolic,7,0.08097503390415867,0.7656149300771108
16,hyperbolic,8,0.4690440643127681,0.06683359177655797
16,hyperbolic,9,0.33153928975853647,0.20968418515614395
16,euclidean,0,0.061113233135214086,0.8221095332031734
16,euclidean,1,0.1925066843759244,0.4750489501695363
16,euclidean,2,0.22153547011515104,0.4096097977258648
16,euclidean,3,0.07486371059063726,0.7828937478556234
16,euclidean,4,0.019861800768944577,0.9417988704023957
16,euclidean,5,0.23528594757057425,0.3803728257380679
16,euclidean,6,0.23375811674219385,0.3835637732623122
16,euclidean,7,0.11000381964338535,0.6850682548817508
16,euclidean,8,0.485850203424952,0.05639284650220439
16,euclidean,9,0.11000381964338535,0.6850682548817508
32,hyperbolic,0,0.5851592072696749,0.017257254504860403
32,hyperbolic,1,0.3789020454383273,0.1478161940499599
32,hyperbolic,2,0.31473315064635254,0.23511555094797723
32,hyperbolic,3,0.11611514295690677,0.6684777081546324
32,hyperbolic,4,0.24445293254085634,0.36153376499374806
32,hyperbolic,5,0.485850203424952,0.05639284650220439
32,hyperbolic,6,0.4216813086329772,0.10377398295266825
32,hyperbolic,7,0.32695579727339535,0.21643664224639766
32,hyperbolic,8,0.3850133687518488,0.14085834434593356
32,hyperbolic,9,0.28723219573550623,0.2807359573800374
32,euclidean,0,0.5927983614115767,0.01551833963222808
32,euclidean,1,0.5882148689264357,0.016544408744220137
32,euclidean,2,0.6172436546656623,0.010854379485125546
32,euclidean,3,0.6172436546656623,0.010854379485125546
32,euclidean,4,0.6172436546656623,0.010854379485125546
32,euclidean,5,0.5927983614115767,0.01551833963222808
32,euclidean,6,0.6309941321210855,0.008765349140322558
32,euclidean,7,0.5087676658506574,0.044162366366656595
32,euclidean,8,0.6050210080386195,0.013023460263978994
32,euclidean,9,0.6065488388669997,0.012735151317095081
